epoch,train_loss,val_loss,val_f05,val_precision,val_recall,lr
1,2.043835,0.425739,0.001833,0.001483,0.032143,0.00000689
2,0.660617,0.194520,0.002551,0.002070,0.035714,0.00000878
3,0.311274,0.095939,0.003328,0.002709,0.039286,0.00001067
4,0.184794,0.068193,0.002758,0.002256,0.025000,0.00001256
5,0.131916,0.058288,0.003328,0.002726,0.028571,0.00001445
6,0.106032,0.054356,0.002522,0.002066,0.021429,0.00001634
7,0.091596,0.052204,0.002090,0.001712,0.017857,0.00001823
8,0.082009,0.050632,0.002501,0.002048,0.021429,0.00002012
9,0.073896,0.048646,0.002933,0.002403,0.025000,0.00002201
10,0.068729,0.046503,0.002973,0.002436,0.025000,0.00002390
11,0.064283,0.044346,0.002599,0.002131,0.021429,0.00002579
12,0.059143,0.041613,0.003069,0.002517,0.025000,0.00002768
13,0.054482,0.037674,0.002680,0.002199,0.021429,0.00002957
14,0.050311,0.034053,0.002275,0.001868,0.017857,0.00003146
15,0.045942,0.031593,0.002737,0.002247,0.021429,0.00003335
16,0.043149,0.031102,0.005004,0.004108,0.039286,0.00003524
17,0.041155,0.030006,0.005466,0.004488,0.042857,0.00003713
18,0.038517,0.029123,0.006347,0.005210,0.050000,0.00003902
19,0.037380,0.028096,0.007688,0.006310,0.060714,0.00004091
20,0.035239,0.027354,0.009463,0.007766,0.075000,0.00004280
21,0.034341,0.026367,0.010357,0.008500,0.082143,0.00004469
22,0.032827,0.026462,0.011257,0.009239,0.089286,0.00004658
23,0.031456,0.025156,0.013470,0.011054,0.107143,0.00004847
24,0.030359,0.024776,0.014363,0.011786,0.114286,0.00004894
25,0.029113,0.024641,0.015687,0.012872,0.125000,0.00001868
26,0.028818,0.023860,0.016112,0.013221,0.128571,0.00004940
27,0.028456,0.023720,0.017442,0.014312,0.139286,0.00002046
28,0.028052,0.023564,0.017001,0.013950,0.135714,0.00004973
29,0.027405,0.023422,0.018336,0.015046,0.146429,0.00002227
30,0.026940,0.023194,0.020075,0.016471,0.160714,0.00004993
