epoch,train_loss,val_loss,val_f05,val_precision,val_recall,lr
1,2.144685,0.629533,0.002278,0.001836,0.060714,0.00000689
2,1.029854,0.577598,0.001980,0.001600,0.039286,0.00000878
3,0.877044,0.674309,0.004431,0.003635,0.035714,0.00001067
4,0.897179,0.752519,0.002347,0.001963,0.010714,0.00001256
5,0.846470,0.577127,0.004249,0.003569,0.017857,0.00001445
6,0.523480,0.263246,0.003737,0.003155,0.014286,0.00001634
7,0.273609,0.131761,0.005226,0.004440,0.017857,0.00001823
8,0.160531,0.094611,0.001138,0.000973,0.003571,0.00002012
9,0.120070,0.079436,0.003501,0.002997,0.010714,0.00002201
10,0.099261,0.069480,0.004789,0.004107,0.014286,0.00002390
11,0.086321,0.062646,0.003910,0.003375,0.010714,0.00002579
12,0.076718,0.055177,0.001422,0.001236,0.003571,0.00002768
13,0.067532,0.049516,0.004360,0.003797,0.010714,0.00002957
14,0.060587,0.045110,0.005828,0.005076,0.014286,0.00003146
15,0.054455,0.040469,0.005787,0.005038,0.014286,0.00003335
16,0.049776,0.037633,0.010210,0.008895,0.025000,0.00003524
17,0.045806,0.036413,0.012931,0.011250,0.032143,0.00003713
18,0.043109,0.035282,0.020468,0.017834,0.050000,0.00003902
19,0.040484,0.032927,0.021828,0.019011,0.053571,0.00004091
20,0.038417,0.032051,0.024482,0.021303,0.060714,0.00004280
21,0.037042,0.031568,0.030761,0.026699,0.078571,0.00004469
22,0.035487,0.030168,0.035837,0.031172,0.089286,0.00004658
23,0.033712,0.029550,0.038882,0.033835,0.096429,0.00004847
24,0.032386,0.028589,0.044336,0.038557,0.110714,0.00004996
25,0.031123,0.027619,0.053916,0.046856,0.135714,0.00004827
26,0.029984,0.027172,0.054775,0.047561,0.139286,0.00004431
27,0.029124,0.027332,0.059389,0.051597,0.150000,0.00003846
28,0.028047,0.025664,0.062500,0.054217,0.160714,0.00003129
29,0.027718,0.025252,0.068131,0.059107,0.175000,0.00002350
30,0.027159,0.025387,0.067114,0.058252,0.171429,0.00001587
