epoch,train_loss,val_loss,val_f05,val_precision,val_recall,lr
1,0.795667,0.049048,0.006602,0.006024,0.010714,0.00003500
2,0.074850,0.029128,0.048077,0.069767,0.021429,0.00004966
3,0.046983,0.023955,0.238550,0.409836,0.089286,0.00004699
4,0.037637,0.021846,0.321181,0.500000,0.132143,0.00004193
5,0.032483,0.020383,0.393082,0.561798,0.178571,0.00003504
6,0.029509,0.019367,0.425824,0.553571,0.221429,0.00002706
7,0.027955,0.018822,0.447977,0.601942,0.221429,0.00001886
8,0.026632,0.018556,0.465278,0.609091,0.239286,0.00001133
9,0.025978,0.018343,0.455729,0.573770,0.250000,0.00000527
10,0.025705,0.018184,0.451031,0.564516,0.250000,0.00000135
11,0.025460,0.018201,0.458115,0.578512,0.250000,0.00005000
12,0.024939,0.017254,0.466507,0.561151,0.278571,0.00004865
13,0.022872,0.016157,0.513285,0.620438,0.303571,0.00004473
14,0.021392,0.015923,0.490654,0.583333,0.300000,0.00003867
15,0.020428,0.015461,0.539773,0.633333,0.339286,0.00003114
16,0.019588,0.015163,0.535714,0.623377,0.342857,0.00002294
17,0.018998,0.015124,0.539773,0.633333,0.339286,0.00001496
18,0.018608,0.014985,0.530973,0.615385,0.342857,0.00000807
19,0.018515,0.014876,0.526906,0.614379,0.335714,0.00000301
20,0.018238,0.014878,0.527778,0.612903,0.339286,0.00000034
21,0.018296,0.014558,0.531798,0.613924,0.346429,0.00004966
22,0.017893,0.014410,0.541667,0.611765,0.371429,0.00004699
23,0.016940,0.013594,0.611472,0.701863,0.403571,0.00004193
24,0.016012,0.013553,0.603992,0.684524,0.410714,0.00003504
25,0.015525,0.013370,0.630208,0.711765,0.432143,0.00002706
26,0.015051,0.013373,0.600198,0.664835,0.432143,0.00001886
27,0.014871,0.013191,0.597610,0.662983,0.428571,0.00001133
28,0.014642,0.013290,0.607430,0.675978,0.432143,0.00000527
29,0.014448,0.013226,0.602410,0.670391,0.428571,0.00000135
30,0.014444,0.013249,0.602410,0.670391,0.428571,0.00005000
