epoch,train_loss,val_loss,val_f05,val_precision,val_recall,lr
1,0.707149,0.043259,0.007911,0.007117,0.014286,0.00003500
2,0.063006,0.025420,0.161638,0.326087,0.053571,0.00004969
3,0.040689,0.022245,0.273438,0.482759,0.100000,0.00004728
4,0.033475,0.020170,0.333904,0.513158,0.139286,0.00004268
5,0.029637,0.019023,0.421687,0.583333,0.200000,0.00003635
6,0.027039,0.018353,0.440751,0.592233,0.217857,0.00002891
7,0.025512,0.017909,0.475852,0.632075,0.239286,0.00002109
8,0.024255,0.017506,0.481844,0.633028,0.246429,0.00001365
9,0.023339,0.017600,0.475260,0.598361,0.260714,0.00000732
10,0.022867,0.017411,0.488827,0.642202,0.250000,0.00000272
11,0.022809,0.017260,0.500000,0.654545,0.257143,0.00000031
12,0.022970,0.016845,0.508021,0.649573,0.271429,0.00004969
13,0.021956,0.016235,0.493590,0.616000,0.275000,0.00004728
14,0.020498,0.015320,0.524390,0.637037,0.307143,0.00004268
15,0.019031,0.014760,0.539906,0.643357,0.328571,0.00003635
16,0.018087,0.014873,0.546512,0.648276,0.335714,0.00002891
17,0.017739,0.014607,0.561111,0.651613,0.360714,0.00002109
18,0.016916,0.014122,0.578194,0.668790,0.375000,0.00001365
19,0.016683,0.014142,0.582960,0.679739,0.371429,0.00000732
20,0.016444,0.014058,0.575658,0.664557,0.375000,0.00000272
21,0.016094,0.014101,0.585938,0.681818,0.375000,0.00000031
22,0.016356,0.014221,0.573864,0.673333,0.360714,0.00004969
23,0.016186,0.013457,0.590426,0.672727,0.396429,0.00004728
24,0.015517,0.013126,0.585000,0.650000,0.417857,0.00004268
25,0.014680,0.013418,0.574468,0.654545,0.385714,0.00003635
26,0.014075,0.012730,0.619658,0.707317,0.414286,0.00002891
27,0.013372,0.012562,0.589623,0.641026,0.446429,0.00002109
28,0.013203,0.012840,0.574324,0.629630,0.425000,0.00001365
29,0.012804,0.012826,0.593137,0.654054,0.432143,0.00000732
30,0.012850,0.012700,0.585206,0.634518,0.446429,0.00000272
