epoch,train_loss,val_loss,val_f05,val_precision,val_recall,lr
1,2.125084,0.646675,0.001774,0.001432,0.039286,0.00000689
2,1.017065,0.579125,0.001934,0.001564,0.035714,0.00000878
3,0.870509,0.667230,0.004897,0.004009,0.042857,0.00001067
4,0.884208,0.724760,0.005011,0.004177,0.025000,0.00001256
5,0.801446,0.512673,0.004873,0.004084,0.021429,0.00001445
6,0.466195,0.223111,0.003516,0.002959,0.014286,0.00001634
7,0.241431,0.118275,0.001962,0.001661,0.007143,0.00001823
8,0.151888,0.089947,0.004484,0.003828,0.014286,0.00002012
9,0.116047,0.079601,0.002269,0.001938,0.007143,0.00002201
10,0.097870,0.069659,0.003662,0.003145,0.010714,0.00002390
11,0.086046,0.061287,0.005097,0.004391,0.014286,0.00002579
12,0.075736,0.054493,0.002831,0.002460,0.007143,0.00002768
13,0.067340,0.048432,0.004381,0.003817,0.010714,0.00002957
14,0.059978,0.044952,0.005800,0.005051,0.014286,0.00003146
15,0.054418,0.039579,0.005695,0.004950,0.014286,0.00003335
16,0.049106,0.036160,0.010151,0.008838,0.025000,0.00003524
17,0.045863,0.034916,0.014286,0.012422,0.035714,0.00003713
18,0.042454,0.035534,0.017202,0.014963,0.042857,0.00003902
19,0.040535,0.033366,0.017084,0.014851,0.042857,0.00004091
20,0.038594,0.032247,0.026012,0.022642,0.064286,0.00004280
21,0.036837,0.031506,0.030000,0.026087,0.075000,0.00004469
22,0.035101,0.030214,0.038309,0.033292,0.096429,0.00004658
23,0.033454,0.028251,0.043687,0.037944,0.110714,0.00004847
24,0.032507,0.027510,0.042857,0.037267,0.107143,0.00004996
25,0.031837,0.027277,0.049779,0.043165,0.128571,0.00004827
26,0.029909,0.027258,0.054837,0.047619,0.139286,0.00004431
27,0.029056,0.025978,0.054899,0.047677,0.139286,0.00003846
28,0.028244,0.025647,0.057263,0.049697,0.146429,0.00003129
29,0.027839,0.025168,0.068283,0.059250,0.175000,0.00002350
30,0.026971,0.025774,0.068056,0.059036,0.175000,0.00001587
